playerID,homeAway,Name,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,InitPlayerName,InitPlayerID,Away?
759,Away,Russell Westbrook,PG,Russell Westbrook,13200,OKC@Orl 07:00PM ET,65.274,OKC,Russell Westbrook,759,@OKC
13305,Home,Anthony Davis,PF/C,Anthony Davis,10800,Dal@NO 08:00PM ET,53.299,NO,James Harden,1598,@NO
2195,Away,John Wall,PG,John Wall,10200,Was@LAC 10:30PM ET,48.944,Was,Isaiah Thomas,4711,@Was
2256,Home,Kawhi Leonard,SF,Kawhi Leonard,9900,GS@SA 09:30PM ET,43.31,SA,DeMar DeRozan,1605,@SA
49629,Away,Giannis Antetokounmpo,PG/SF,Giannis Antetokounmpo,9700,Mil@Bos 07:30PM ET,48.459,Mil,Anthony Davis,13305,@Mil
2192,Home,DeMarcus Cousins,PF/C,DeMarcus Cousins,9600,Dal@NO 08:00PM ET,51.866,NO,DeMarcus Cousins,2192,@NO
1600,Away,Stephen Curry,PG,Stephen Curry,8800,GS@SA 09:30PM ET,44.642,GS,Damian Lillard,13809,@GS
1605,Home,DeMar DeRozan,SG,DeMar DeRozan,8700,Cha@Tor 07:30PM ET,41.088,Tor,Karl-Anthony Towns,39311,@Tor
25858,Away,Rudy Gobert,C,Rudy Gobert,8600,Uta@Sac 10:30PM ET,38.432,Uta,Stephen Curry,1600,@Uta
7693,Away,Hassan Whiteside,C,Hassan Whiteside,8400,Mia@NY 07:30PM ET,41.489,Mia,LeBron James,250,@Mia
34,Away,Kevin Durant,SF,Kevin Durant,8300,GS@SA 09:30PM ET,48.813,GS,Kawhi Leonard,2256,@GS
2305,Away,Paul George,SF/PF,Paul George,8200,Ind@Mem 08:00PM ET,38.799,Ind,Kevin Durant,34,@Ind
61,Home,Chris Paul,PG,Chris Paul,8100,Was@LAC 10:30PM ET,41.944,LAC,Kyrie Irving,7118,@LAC
4711,Home,Isaiah Thomas,PG,Isaiah Thomas,8000,Mil@Bos 07:30PM ET,43.467,Bos,Paul George,2305,@Bos
33,Home,Mike Conley,PG,Mike Conley,8000,Ind@Mem 08:00PM ET,37.476,Mem,Giannis Antetokounmpo,49629,@Mem
1596,Home,Blake Griffin,PF/C,Blake Griffin,7900,Was@LAC 10:30PM ET,41.088,LAC,Andrew Wiggins,24682,@LAC
24148,Away,Bradley Beal,SG,Bradley Beal,7800,Was@LAC 10:30PM ET,35.536,Was,Carmelo Anthony,452,@Was
2181,Away,Kemba Walker,PG,Kemba Walker,7800,Cha@Tor 07:30PM ET,39.223,Cha,John Wall,2195,@Cha
6925,Home,Nikola Vucevic,C,Nikola Vucevic,7700,OKC@Orl 07:00PM ET,35.858,Orl,Bradley Beal,24148,@Orl
26503,Away,Dennis Schroder,PG,Dennis Schroder,7700,Atl@Phi 07:00PM ET,32.611,Atl,Jimmy Butler,6160,@Atl
32861,Home,Kristaps Porzingis,PF/C,Kristaps Porzingis,7600,Mia@NY 07:30PM ET,35.091,NY,Kemba Walker,2181,@NY
24342,Home,Dario Saric,PF,Dario Saric,7600,Atl@Phi 07:00PM ET,25.918,Phi,Klay Thompson,4717,@Phi
376,Away,Dwight Howard,C,Dwight Howard,7600,Atl@Phi 07:00PM ET,35.713,Atl,C.J. McCollum,17251,@Atl
812,Away,Goran Dragic,PG,Goran Dragic,7500,Mia@NY 07:30PM ET,35.961,Mia,Blake Griffin,1596,@Mia
2369,Away,Draymond Green,PF/C,Draymond Green,7500,GS@SA 09:30PM ET,37.8,GS,Brook Lopez,770,@GS
8226,Away,Gordon Hayward,SF,Gordon Hayward,7400,Uta@Sac 10:30PM ET,36.358,Uta,Gordon Hayward,8226,@Uta
31736,Home,Elfrid Payton,PG,Elfrid Payton,7300,OKC@Orl 07:00PM ET,30.25,Orl,Eric Bledsoe,5714,@Orl
112,Away,Paul Millsap,PF/C,Paul Millsap,7300,Atl@Phi 07:00PM ET,37.424,Atl,Kyle Lowry,78,@Atl
78,Home,Kyle Lowry,PG,Kyle Lowry,7200,Cha@Tor 07:30PM ET,42.825,Tor,Devin Booker,41438,@Tor
66,Home,LaMarcus Aldridge,PF,LaMarcus Aldridge,7100,GS@SA 09:30PM ET,33.25,SA,Jabari Parker,24302,@SA
22,Home,Marc Gasol,C,Marc Gasol,7000,Ind@Mem 08:00PM ET,38.779,Mem,Goran Dragic,812,@Mem
