playerID,homeAway,name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,FanduelNumber,InitPlayerName,InitPlayerID,AtTeam
759,Home,Russell Westbrook,18721-9642,PG,Russell,Russell Westbrook,Westbrook,59.03499756,80,13900,DEN@OKC,OKC,DEN,O,Rest,9642,Russell Westbrook,759,@OKC
1598,Home,James Harden,18721-9644,SG,James,James Harden,Harden,53.72874756,80,11700,MIN@HOU,HOU,MIN,,,9644,James Harden,1598,@HOU
13305,Away,Anthony Davis,18721-15755,PF,Anthony,Anthony Davis,Davis,49.81733398,75,11300,NO@POR,NO,POR,O,Knee,15755,Isaiah Thomas,4711,@NO
250,Home,LeBron James,18721-9488,SF,LeBron,LeBron James,James,49.41621688,74,10900,TOR@CLE,CLE,TOR,O,Calf,9488,DeMar DeRozan,1605,@CLE
39311,Away,Karl-Anthony Towns,18721-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,45.00864137,81,10600,MIN@HOU,MIN,HOU,,,58462,Anthony Davis,13305,@MIN
49629,Away,Giannis Antetokounmpo,18721-40199,SG,Giannis,Giannis Antetokounmpo,Antetokounmpo,45.6625,80,10300,MIL@BOS,MIL,BOS,O,Rest,40199,DeMarcus Cousins,2192,@MIL
6160,Home,Jimmy Butler,18721-14528,SF,Jimmy,Jimmy Butler,Butler,41.96400065,75,10200,BKN@CHI,CHI,BKN,,,14528,Damian Lillard,13809,@CHI
1600,Home,Stephen Curry,18721-9524,PG,Stephen,Stephen Curry,Curry,41.70256473,78,10200,LAL@GS,GS,LAL,,,9524,Karl-Anthony Towns,39311,@GS
2195,Away,John Wall,18721-12332,PG,John,John Wall,Wall,45.306409,78,10100,WAS@MIA,WAS,MIA,GTD,Quadriceps,12332,Stephen Curry,1600,@WAS
2192,Away,DeMarcus Cousins,18721-12362,C,DeMarcus,DeMarcus Cousins,Cousins,48.77500068,72,10100,NO@POR,NO,POR,O,Achilles,12362,LeBron James,250,@NO
2305,Home,Paul George,18721-12341,SF,Paul,Paul George,George,37.34053988,74,9900,ATL@IND,IND,ATL,,,12341,Kawhi Leonard,2256,@IND
49571,Away,Nikola Jokic,18721-55062,PF,Nikola,Nikola Jokic,Jokic,36.51126829,71,9900,DEN@OKC,DEN,OKC,,,55062,Kevin Durant,34,@DEN
