playerID,homeAway,First Name Last Name,Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,InitPlayerName,InitPlayerID,Away?
304,Home,Jason Terry,nba.p.3333,Jason,Terry,SG,MIL,BOS,MIL@BOS,7:30PM EDT,10,9.7,,Russell Westbrook,759,@BOS
370,Home,Spencer Hawes,nba.p.4288,Spencer,Hawes,PF,MIL,BOS,MIL@BOS,7:30PM EDT,10,14.1,,James Harden,1598,@BOS
757,Home,Michael Beasley,nba.p.4388,Michael,Beasley,PF,MIL,BOS,MIL@BOS,7:30PM EDT,16,16.4,INJ,Isaiah Thomas,4711,@BOS
2178,Home,Greg Monroe,nba.p.4722,Greg,Monroe,C,MIL,BOS,MIL@BOS,7:30PM EDT,18,24.9,,DeMar DeRozan,1605,@BOS
2209,Home,John Henson,nba.p.5020,John,Henson,C,MIL,BOS,MIL@BOS,7:30PM EDT,10,17.6,INJ,Anthony Davis,13305,@BOS
7109,Home,Terrence Jones,nba.p.5024,Terrence,Jones,SF,MIL,BOS,MIL@BOS,7:30PM EDT,12,21.9,,DeMarcus Cousins,2192,@BOS
4294,Home,Khris Middleton,nba.p.5073,Khris,Middleton,SF,MIL,BOS,MIL@BOS,7:30PM EDT,28,26.5,,Damian Lillard,13809,@BOS
28228,Home,Mirza Teletovic,nba.p.5095,Mirza,Teletovic,PF,MIL,BOS,MIL@BOS,7:30PM EDT,10,11.3,,Karl-Anthony Towns,39311,@BOS
49629,Home,Giannis Antetokounmpo,nba.p.5185,Giannis,Antetokounmpo,PF,MIL,BOS,MIL@BOS,7:30PM EDT,52,46,,Stephen Curry,1600,@BOS
22374,Home,Tony Snell,nba.p.5190,Tony,Snell,SG,MIL,BOS,MIL@BOS,7:30PM EDT,10,16.1,,LeBron James,250,@BOS
8530,Home,Matt Dellavedova,nba.p.5249,Matthew,Dellavedova,SG,MIL,BOS,MIL@BOS,7:30PM EDT,10,17.3,,Kawhi Leonard,2256,@BOS
24302,Home,Jabari Parker,nba.p.5293,Jabari,Parker,SF,MIL,BOS,MIL@BOS,7:30PM EDT,10,33.3,INJ,Kevin Durant,34,@BOS
42082,Home,Rashad Vaughn,nba.p.5477,Rashad,Vaughn,SG,MIL,BOS,MIL@BOS,7:30PM EDT,10,6.8,,Kyrie Irving,7118,@BOS
42192,Home,Thon Maker,nba.p.5641,Thon,Maker,C,MIL,BOS,MIL@BOS,7:30PM EDT,10,6.9,,Paul George,2305,@BOS
24209,Home,Malcolm Brogdon,nba.p.5667,Malcolm,Brogdon,PG,MIL,BOS,MIL@BOS,7:30PM EDT,17,21.2,,Giannis Antetokounmpo,49629,@BOS
354,Away,Gerald Green,nba.p.3944,Gerald,Green,SF,BOS,MIL,MIL@BOS,7:30PM EDT,10,9.5,,Andrew Wiggins,24682,@MIL
147,Away,Amir Johnson,nba.p.3982,Amir,Johnson,PF,BOS,MIL,MIL@BOS,7:30PM EDT,10,16.7,,Carmelo Anthony,452,@MIL
35,Away,Al Horford,nba.p.4245,Al,Horford,C,BOS,MIL,MIL@BOS,7:30PM EDT,27,33.4,,John Wall,2195,@MIL
1623,Away,Jonas Jerebko,nba.p.4644,Jonas,Jerebko,SF,BOS,MIL,MIL@BOS,7:30PM EDT,10,10.3,GTD,Bradley Beal,24148,@MIL
2194,Away,Avery Bradley,nba.p.4750,Avery,Bradley,SG,BOS,MIL,MIL@BOS,7:30PM EDT,23,29.7,,Jimmy Butler,6160,@MIL
4711,Away,Isaiah Thomas,nba.p.4942,Isaiah,Thomas,PG,BOS,MIL,MIL@BOS,7:30PM EDT,46,42.1,,Kemba Walker,2181,@MIL
2175,Away,Tyler Zeller,nba.p.5023,Tyler,Zeller,C,BOS,MIL,MIL@BOS,7:30PM EDT,10,8.6,,Klay Thompson,4717,@MIL
22407,Away,Jae Crowder,nba.p.5068,Jae,Crowder,SF,BOS,MIL,MIL@BOS,7:30PM EDT,23,26.7,,C.J. McCollum,17251,@MIL
8330,Away,Kelly Olynyk,nba.p.5164,Kelly,Olynyk,PF,BOS,MIL,MIL@BOS,7:30PM EDT,11,18.8,,Blake Griffin,1596,@MIL
24275,Away,Marcus Smart,nba.p.5317,Marcus,Smart,PG,BOS,MIL,MIL@BOS,7:30PM EDT,18,24.4,,Brook Lopez,770,@MIL
24681,Away,James Young,nba.p.5328,James,Young,SG,BOS,MIL,MIL@BOS,7:30PM EDT,10,4.7,,Gordon Hayward,8226,@MIL
24644,Away,Terry Rozier,nba.p.5476,Terry,Rozier,PG,BOS,MIL,MIL@BOS,7:30PM EDT,10,13,,Eric Bledsoe,5714,@MIL
28236,Away,Jordan Mickey,nba.p.5493,Jordan,Mickey,PF,BOS,MIL,MIL@BOS,7:30PM EDT,10,4,,Kyle Lowry,78,@MIL
52544,Away,Jaylen Brown,nba.p.5602,Jaylen,Brown,SF,BOS,MIL,MIL@BOS,7:30PM EDT,10,12.1,,Devin Booker,41438,@MIL
43395,Away,Demetrius Jackson,nba.p.5676,Demetrius,Jackson,PG,BOS,MIL,MIL@BOS,7:30PM EDT,10,4,,Jabari Parker,24302,@MIL
